Course ID,Course Name,Subject,Description,Instructor,Level,Duration,Language,Price,Rating,Enrollment,Skills Covered,Prerequisites,Lecture Video URL,Quiz URL,Assignment URL,Discussion Forum URL,Completion Certificate
HIS006,History Course 7,History,This course covers various topics in History.,John Doe,Advanced,26,French,112.79,4.95,9248,Skill 3,Prereq 2,https://www.example.com/history/lecture_6,https://www.example.com/history/quiz_6,https://www.example.com/history/assignment_6,https://www.example.com/history/forum_6,No
HIS007,History Course 8,History,This course covers various topics in History.,John Doe,Advanced,39,English,143.48,3.06,2322,"Skill 1, Skill 3, Skill 2, Skill 4",Prereq 3,https://www.example.com/history/lecture_7,https://www.example.com/history/quiz_7,https://www.example.com/history/assignment_7,https://www.example.com/history/forum_7,No
HIS008,History Course 9,History,This course covers various topics in History.,John Doe,Beginner,19,English,98.68,1.38,5097,"Skill 2, Skill 1, Skill 4, Skill 3","Prereq 1, Prereq 3",https://www.example.com/history/lecture_8,https://www.example.com/history/quiz_8,https://www.example.com/history/assignment_8,https://www.example.com/history/forum_8,Yes
HIS009,History Course 10,History,This course covers various topics in History.,John Doe,Intermediate,45,French,94.41,4.74,5345,Skill 4,Prereq 3,https://www.example.com/history/lecture_9,https://www.example.com/history/quiz_9,https://www.example.com/history/assignment_9,https://www.example.com/history/forum_9,Yes
HIS010,History Course 11,History,This course covers various topics in History.,John Doe,Beginner,29,English,121.06,1.42,6228,"Skill 2, Skill 3, Skill 1, Skill 4",,https://www.example.com/history/lecture_10,https://www.example.com/history/quiz_10,https://www.example.com/history/assignment_10,https://www.example.com/history/forum_10,Yes
HIS011,History Course 12,History,This course covers various topics in History.,John Doe,Beginner,7,Spanish,126.65,2.61,9721,"Skill 2, Skill 1","Prereq 3, Prereq 1",https://www.example.com/history/lecture_11,https://www.example.com/history/quiz_11,https://www.example.com/history/assignment_11,https://www.example.com/history/forum_11,No
HIS012,History Course 13,History,This course covers various topics in History.,John Doe,Advanced,5,French,79.56,4.91,6566,"Skill 4, Skill 3, Skill 1, Skill 2","Prereq 3, Prereq 1",https://www.example.com/history/lecture_12,https://www.example.com/history/quiz_12,https://www.example.com/history/assignment_12,https://www.example.com/history/forum_12,No
HIS013,History Course 14,History,This course covers various topics in History.,John Doe,Advanced,9,French,36.15,3.02,6683,Skill 3,"Prereq 3, Prereq 1",https://www.example.com/history/lecture_13,https://www.example.com/history/quiz_13,https://www.example.com/history/assignment_13,https://www.example.com/history/forum_13,No
HIS014,History Course 15,History,This course covers various topics in History.,John Doe,Intermediate,12,English,61.22,4.33,6289,"Skill 4, Skill 2, Skill 3, Skill 1","Prereq 2, Prereq 3",https://www.example.com/history/lecture_14,https://www.example.com/history/quiz_14,https://www.example.com/history/assignment_14,https://www.example.com/history/forum_14,No
HIS015,History Course 16,History,This course covers various topics in History.,John Doe,Beginner,32,French,169.31,2.67,1308,"Skill 3, Skill 4, Skill 2",Prereq 2,https://www.example.com/history/lecture_15,https://www.example.com/history/quiz_15,https://www.example.com/history/assignment_15,https://www.example.com/history/forum_15,No
HIS016,History Course 17,History,This course covers various topics in History.,John Doe,Intermediate,17,French,140.29,3.19,8844,"Skill 2, Skill 1, Skill 4",,https://www.example.com/history/lecture_16,https://www.example.com/history/quiz_16,https://www.example.com/history/assignment_16,https://www.example.com/history/forum_16,No
HIS017,History Course 18,History,This course covers various topics in History.,John Doe,Beginner,48,English,157.58,4.64,7060,"Skill 3, Skill 4, Skill 2","Prereq 3, Prereq 1",https://www.example.com/history/lecture_17,https://www.example.com/history/quiz_17,https://www.example.com/history/assignment_17,https://www.example.com/history/forum_17,Yes
HIS018,History Course 19,History,This course covers various topics in History.,John Doe,Advanced,34,Spanish,78.91,4.37,7235,"Skill 3, Skill 1, Skill 2",,https://www.example.com/history/lecture_18,https://www.example.com/history/quiz_18,https://www.example.com/history/assignment_18,https://www.example.com/history/forum_18,Yes
HIS019,History Course 20,History,This course covers various topics in History.,John Doe,Intermediate,19,Spanish,58.16,3.32,9306,Skill 4,"Prereq 2, Prereq 1",https://www.example.com/history/lecture_19,https://www.example.com/history/quiz_19,https://www.example.com/history/assignment_19,https://www.example.com/history/forum_19,Yes
GEO000,Geography Course 1,Geography,This course covers various topics in Geography.,John Doe,Beginner,33,French,148.26,1.04,6360,Skill 1,"Prereq 2, Prereq 3",https://www.example.com/geography/lecture_0,https://www.example.com/geography/quiz_0,https://www.example.com/geography/assignment_0,https://www.example.com/geography/forum_0,Yes
GEO001,Geography Course 2,Geography,This course covers various topics in Geography.,John Doe,Beginner,27,English,24.89,3.29,3519,Skill 3,,https://www.example.com/geography/lecture_1,https://www.example.com/geography/quiz_1,https://www.example.com/geography/assignment_1,https://www.example.com/geography/forum_1,No
GEO002,Geography Course 3,Geography,This course covers various topics in Geography.,John Doe,Intermediate,25,French,112.38,3.87,9647,"Skill 2, Skill 4","Prereq 2, Prereq 1, Prereq 3",https://www.example.com/geography/lecture_2,https://www.example.com/geography/quiz_2,https://www.example.com/geography/assignment_2,https://www.example.com/geography/forum_2,Yes
GEO003,Geography Course 4,Geography,This course covers various topics in Geography.,John Doe,Intermediate,6,Spanish,190.14,3.65,8115,Skill 2,"Prereq 3, Prereq 1, Prereq 2",https://www.example.com/geography/lecture_3,https://www.example.com/geography/quiz_3,https://www.example.com/geography/assignment_3,https://www.example.com/geography/forum_3,No
GEO004,Geography Course 5,Geography,This course covers various topics in Geography.,John Doe,Beginner,19,Spanish,48.17,1.02,1311,Skill 1,"Prereq 3, Prereq 1, Prereq 2",https://www.example.com/geography/lecture_4,https://www.example.com/geography/quiz_4,https://www.example.com/geography/assignment_4,https://www.example.com/geography/forum_4,No
GEO005,Geography Course 6,Geography,This course covers various topics in Geography.,John Doe,Intermediate,15,English,153.5,1.17,9647,"Skill 4, Skill 1","Prereq 2, Prereq 1, Prereq 3",https://www.example.com/geography/lecture_5,https://www.example.com/geography/quiz_5,https://www.example.com/geography/assignment_5,https://www.example.com/geography/forum_5,Yes
GEO006,Geography Course 7,Geography,This course covers various topics in Geography.,John Doe,Beginner,25,French,22.62,1.59,4111,"Skill 4, Skill 1, Skill 3, Skill 2",Prereq 1,https://www.example.com/geography/lecture_6,https://www.example.com/geography/quiz_6,https://www.example.com/geography/assignment_6,https://www.example.com/geography/forum_6,Yes
GEO007,Geography Course 8,Geography,This course covers various topics in Geography.,John Doe,Beginner,27,Spanish,34.28,4.67,3815,"Skill 2, Skill 4",,https://www.example.com/geography/lecture_7,https://www.example.com/geography/quiz_7,https://www.example.com/geography/assignment_7,https://www.example.com/geography/forum_7,No
GEO008,Geography Course 9,Geography,This course covers various topics in Geography.,John Doe,Advanced,13,English,98.08,1.14,3540,Skill 1,Prereq 1,https://www.example.com/geography/lecture_8,https://www.example.com/geography/quiz_8,https://www.example.com/geography/assignment_8,https://www.example.com/geography/forum_8,No
GEO009,Geography Course 10,Geography,This course covers various topics in Geography.,John Doe,Beginner,31,Spanish,167.75,2.43,3415,"Skill 1, Skill 3, Skill 2, Skill 4",,https://www.example.com/geography/lecture_9,https://www.example.com/geography/quiz_9,https://www.example.com/geography/assignment_9,https://www.example.com/geography/forum_9,Yes
GEO010,Geography Course 11,Geography,This course covers various topics in Geography.,John Doe,Advanced,42,English,171.98,3.17,7772,Skill 3,"Prereq 3, Prereq 2, Prereq 1",https://www.example.com/geography/lecture_10,https://www.example.com/geography/quiz_10,https://www.example.com/geography/assignment_10,https://www.example.com/geography/forum_10,No
GEO011,Geography Course 12,Geography,This course covers various topics in Geography.,John Doe,Intermediate,47,English,115.73,3.46,6249,"Skill 4, Skill 2",Prereq 1,https://www.example.com/geography/lecture_11,https://www.example.com/geography/quiz_11,https://www.example.com/geography/assignment_11,https://www.example.com/geography/forum_11,No
GEO012,Geography Course 13,Geography,This course covers various topics in Geography.,John Doe,Intermediate,49,Spanish,123.56,4.9,4425,Skill 3,"Prereq 1, Prereq 2",https://www.example.com/geography/lecture_12,https://www.example.com/geography/quiz_12,https://www.example.com/geography/assignment_12,https://www.example.com/geography/forum_12,Yes
GEO013,Geography Course 14,Geography,This course covers various topics in Geography.,John Doe,Beginner,12,French,177.01,4.29,7266,Skill 3,"Prereq 3, Prereq 2, Prereq 1",https://www.example.com/geography/lecture_13,https://www.example.com/geography/quiz_13,https://www.example.com/geography/assignment_13,https://www.example.com/geography/forum_13,No
GEO014,Geography Course 15,Geography,This course covers various topics in Geography.,John Doe,Advanced,20,French,147.12,3.2,341,"Skill 4, Skill 3, Skill 1, Skill 2","Prereq 2, Prereq 3",https://www.example.com/geography/lecture_14,https://www.example.com/geography/quiz_14,https://www.example.com/geography/assignment_14,https://www.example.com/geography/forum_14,No
GEO015,Geography Course 16,Geography,This course covers various topics in Geography.,John Doe,Intermediate,40,English,148.5,1.08,7744,"Skill 3, Skill 2, Skill 4, Skill 1",Prereq 2,https://www.example.com/geography/lecture_15,https://www.example.com/geography/quiz_15,https://www.example.com/geography/assignment_15,https://www.example.com/geography/forum_15,Yes
GEO016,Geography Course 17,Geography,This course covers various topics in Geography.,John Doe,Intermediate,33,English,153.01,1.82,8383,"Skill 3, Skill 2",Prereq 2,https://www.example.com/geography/lecture_16,https://www.example.com/geography/quiz_16,https://www.example.com/geography/assignment_16,https://www.example.com/geography/forum_16,Yes
GEO017,Geography Course 18,Geography,This course covers various topics in Geography.,John Doe,Intermediate,5,English,83.09,1.39,7511,"Skill 3, Skill 1, Skill 4","Prereq 1, Prereq 3",https://www.example.com/geography/lecture_17,https://www.example.com/geography/quiz_17,https://www.example.com/geography/assignment_17,https://www.example.com/geography/forum_17,Yes
GEO018,Geography Course 19,Geography,This course covers various topics in Geography.,John Doe,Beginner,23,French,141.63,3.5,2892,"Skill 2, Skill 1, Skill 3","Prereq 1, Prereq 3",https://www.example.com/geography/lecture_18,https://www.example.com/geography/quiz_18,https://www.example.com/geography/assignment_18,https://www.example.com/geography/forum_18,No
GEO019,Geography Course 20,Geography,This course covers various topics in Geography.,John Doe,Intermediate,26,French,161.46,1.67,5675,"Skill 4, Skill 1","Prereq 2, Prereq 1, Prereq 3",https://www.example.com/geography/lecture_19,https://www.example.com/geography/quiz_19,https://www.example.com/geography/assignment_19,https://www.example.com/geography/forum_19,Yes
LIT000,Literature Course 1,Literature,This course covers various topics in Literature.,John Doe,Intermediate,25,French,162.58,3.07,1395,"Skill 4, Skill 2",Prereq 2,https://www.example.com/literature/lecture_0,https://www.example.com/literature/quiz_0,https://www.example.com/literature/assignment_0,https://www.example.com/literature/forum_0,Yes
LIT001,Literature Course 2,Literature,This course covers various topics in Literature.,John Doe,Advanced,29,Spanish,52.33,1.05,753,"Skill 3, Skill 4, Skill 1",,https://www.example.com/literature/lecture_1,https://www.example.com/literature/quiz_1,https://www.example.com/literature/assignment_1,https://www.example.com/literature/forum_1,No
LIT002,Literature Course 3,Literature,This course covers various topics in Literature.,John Doe,Advanced,16,Spanish,68.67,1.36,6501,"Skill 1, Skill 2","Prereq 2, Prereq 1",https://www.example.com/literature/lecture_2,https://www.example.com/literature/quiz_2,https://www.example.com/literature/assignment_2,https://www.example.com/literature/forum_2,Yes
LIT003,Literature Course 4,Literature,This course covers various topics in Literature.,John Doe,Advanced,8,English,112.77,1.7,5160,"Skill 2, Skill 3","Prereq 3, Prereq 1, Prereq 2",https://www.example.com/literature/lecture_3,https://www.example.com/literature/quiz_3,https://www.example.com/literature/assignment_3,https://www.example.com/literature/forum_3,No
LIT004,Literature Course 5,Literature,This course covers various topics in Literature.,John Doe,Beginner,25,French,23.98,2.51,2135,Skill 4,"Prereq 2, Prereq 1, Prereq 3",https://www.example.com/literature/lecture_4,https://www.example.com/literature/quiz_4,https://www.example.com/literature/assignment_4,https://www.example.com/literature/forum_4,No
LIT005,Literature Course 6,Literature,This course covers various topics in Literature.,John Doe,Beginner,21,French,108.62,1.74,9163,"Skill 2, Skill 4, Skill 1, Skill 3","Prereq 1, Prereq 2",https://www.example.com/literature/lecture_5,https://www.example.com/literature/quiz_5,https://www.example.com/literature/assignment_5,https://www.example.com/literature/forum_5,Yes
LIT006,Literature Course 7,Literature,This course covers various topics in Literature.,John Doe,Beginner,48,French,68.5,3.87,3965,Skill 1,,https://www.example.com/literature/lecture_6,https://www.example.com/literature/quiz_6,https://www.example.com/literature/assignment_6,https://www.example.com/literature/forum_6,No
LIT007,Literature Course 8,Literature,This course covers various topics in Literature.,John Doe,Advanced,15,French,30.77,1.04,9389,"Skill 2, Skill 1",Prereq 1,https://www.example.com/literature/lecture_7,https://www.example.com/literature/quiz_7,https://www.example.com/literature/assignment_7,https://www.example.com/literature/forum_7,No
LIT008,Literature Course 9,Literature,This course covers various topics in Literature.,John Doe,Advanced,30,English,69.08,4.49,1372,"Skill 4, Skill 3",,https://www.example.com/literature/lecture_8,https://www.example.com/literature/quiz_8,https://www.example.com/literature/assignment_8,https://www.example.com/literature/forum_8,No
LIT009,Literature Course 10,Literature,This course covers various topics in Literature.,John Doe,Intermediate,15,English,172.52,3.5,3314,"Skill 2, Skill 4, Skill 1","Prereq 2, Prereq 3, Prereq 1",https://www.example.com/literature/lecture_9,https://www.example.com/literature/quiz_9,https://www.example.com/literature/assignment_9,https://www.example.com/literature/forum_9,No
LIT010,Literature Course 11,Literature,This course covers various topics in Literature.,John Doe,Advanced,49,Spanish,177.38,1.23,1276,"Skill 3, Skill 1",Prereq 1,https://www.example.com/literature/lecture_10,https://www.example.com/literature/quiz_10,https://www.example.com/literature/assignment_10,https://www.example.com/literature/forum_10,Yes
LIT011,Literature Course 12,Literature,This course covers various topics in Literature.,John Doe,Intermediate,33,English,187.97,1.92,4413,"Skill 4, Skill 3, Skill 1","Prereq 1, Prereq 2",https://www.example.com/literature/lecture_11,https://www.example.com/literature/quiz_11,https://www.example.com/literature/assignment_11,https://www.example.com/literature/forum_11,Yes
LIT012,Literature Course 13,Literature,This course covers various topics in Literature.,John Doe,Intermediate,23,English,170.49,2.9,6762,"Skill 2, Skill 1",,https://www.example.com/literature/lecture_12,https://www.example.com/literature/quiz_12,https://www.example.com/literature/assignment_12,https://www.example.com/literature/forum_12,Yes
LIT013,Literature Course 14,Literature,This course covers various topics in Literature.,John Doe,Beginner,20,English,144.2,3.98,6300,"Skill 3, Skill 2, Skill 4, Skill 1",Prereq 3,https://www.example.com/literature/lecture_13,https://www.example.com/literature/quiz_13,https://www.example.com/literature/assignment_13,https://www.example.com/literature/forum_13,Yes
LIT014,Literature Course 15,Literature,This course covers various topics in Literature.,John Doe,Advanced,9,Spanish,91.25,2.41,2552,"Skill 4, Skill 1","Prereq 2, Prereq 1",https://www.example.com/literature/lecture_14,https://www.example.com/literature/quiz_14,https://www.example.com/literature/assignment_14,https://www.example.com/literature/forum_14,No
LIT015,Literature Course 16,Literature,This course covers various topics in Literature.,John Doe,Intermediate,24,French,69.44,1.26,6294,"Skill 1, Skill 3, Skill 4",Prereq 2,https://www.example.com/literature/lecture_15,https://www.example.com/literature/quiz_15,https://www.example.com/literature/assignment_15,https://www.example.com/literature/forum_15,No
LIT016,Literature Course 17,Literature,This course covers various topics in Literature.,John Doe,Intermediate,50,Spanish,110.13,2.98,4063,Skill 1,Prereq 3,https://www.example.com/literature/lecture_16,https://www.example.com/literature/quiz_16,https://www.example.com/literature/assignment_16,https://www.example.com/literature/forum_16,No
LIT017,Literature Course 18,Literature,This course covers various topics in Literature.,John Doe,Intermediate,9,Spanish,169.16,4.21,1404,Skill 3,,https://www.example.com/literature/lecture_17,https://www.example.com/literature/quiz_17,https://www.example.com/literature/assignment_17,https://www.example.com/literature/forum_17,Yes
LIT018,Literature Course 19,Literature,This course covers various topics in Literature.,John Doe,Beginner,11,French,36.41,1.86,5082,"Skill 3, Skill 2, Skill 1",,https://www.example.com/literature/lecture_18,https://www.example.com/literature/quiz_18,https://www.example.com/literature/assignment_18,https://www.example.com/literature/forum_18,Yes
LIT019,Literature Course 20,Literature,This course covers various topics in Literature.,John Doe,Intermediate,25,Spanish,143.79,2.75,307,"Skill 4, Skill 1, Skill 2, Skill 3","Prereq 1, Prereq 3, Prereq 2",https://www.example.com/literature/lecture_19,https://www.example.com/literature/quiz_19,https://www.example.com/literature/assignment_19,https://www.example.com/literature/forum_19,No
ENG000,English Language Course 1,English Language,This course covers various topics in English Language.,John Doe,Advanced,23,Spanish,121.26,3.51,3161,"Skill 3, Skill 1, Skill 2","Prereq 3, Prereq 1, Prereq 2",https://www.example.com/english-language/lecture_0,https://www.example.com/english-language/quiz_0,https://www.example.com/english-language/assignment_0,https://www.example.com/english-language/forum_0,Yes
ENG001,English Language Course 2,English Language,This course covers various topics in English Language.,John Doe,Advanced,32,English,69.21,1.98,1464,Skill 3,,https://www.example.com/english-language/lecture_1,https://www.example.com/english-language/quiz_1,https://www.example.com/english-language/assignment_1,https://www.example.com/english-language/forum_1,Yes
ENG002,English Language Course 3,English Language,This course covers various topics in English Language.,John Doe,Beginner,20,English,186.08,3.48,7792,"Skill 3, Skill 2, Skill 1",,https://www.example.com/english-language/lecture_2,https://www.example.com/english-language/quiz_2,https://www.example.com/english-language/assignment_2,https://www.example.com/english-language/forum_2,Yes
ENG003,English Language Course 4,English Language,This course covers various topics in English Language.,John Doe,Intermediate,47,English,33.24,3.62,5320,Skill 3,"Prereq 1, Prereq 3",https://www.example.com/english-language/lecture_3,https://www.example.com/english-language/quiz_3,https://www.example.com/english-language/assignment_3,https://www.example.com/english-language/forum_3,Yes
ENG004,English Language Course 5,English Language,This course covers various topics in English Language.,John Doe,Intermediate,29,French,128.58,1.17,3274,"Skill 3, Skill 4, Skill 2","Prereq 1, Prereq 2",https://www.example.com/english-language/lecture_4,https://www.example.com/english-language/quiz_4,https://www.example.com/english-language/assignment_4,https://www.example.com/english-language/forum_4,Yes
ENG005,English Language Course 6,English Language,This course covers various topics in English Language.,John Doe,Intermediate,35,English,167.79,4.39,7673,Skill 1,Prereq 2,https://www.example.com/english-language/lecture_5,https://www.example.com/english-language/quiz_5,https://www.example.com/english-language/assignment_5,https://www.example.com/english-language/forum_5,No
ENG006,English Language Course 7,English Language,This course covers various topics in English Language.,John Doe,Beginner,17,French,46.66,4.2,108,"Skill 2, Skill 3","Prereq 3, Prereq 1",https://www.example.com/english-language/lecture_6,https://www.example.com/english-language/quiz_6,https://www.example.com/english-language/assignment_6,https://www.example.com/english-language/forum_6,No
ENG007,English Language Course 8,English Language,This course covers various topics in English Language.,John Doe,Advanced,31,English,193.37,2.23,5796,"Skill 1, Skill 4, Skill 2, Skill 3",,https://www.example.com/english-language/lecture_7,https://www.example.com/english-language/quiz_7,https://www.example.com/english-language/assignment_7,https://www.example.com/english-language/forum_7,Yes
ENG008,English Language Course 9,English Language,This course covers various topics in English Language.,John Doe,Intermediate,48,French,104.78,3.32,3973,"Skill 2, Skill 4","Prereq 1, Prereq 3",https://www.example.com/english-language/lecture_8,https://www.example.com/english-language/quiz_8,https://www.example.com/english-language/assignment_8,https://www.example.com/english-language/forum_8,Yes
ENG009,English Language Course 10,English Language,This course covers various topics in English Language.,John Doe,Intermediate,43,English,101.35,1.03,277,"Skill 2, Skill 1, Skill 4, Skill 3",Prereq 2,https://www.example.com/english-language/lecture_9,https://www.example.com/english-language/quiz_9,https://www.example.com/english-language/assignment_9,https://www.example.com/english-language/forum_9,Yes
ENG010,English Language Course 11,English Language,This course covers various topics in English Language.,John Doe,Beginner,34,French,163.99,4.99,2382,Skill 2,"Prereq 1, Prereq 3",https://www.example.com/english-language/lecture_10,https://www.example.com/english-language/quiz_10,https://www.example.com/english-language/assignment_10,https://www.example.com/english-language/forum_10,No
ENG011,English Language Course 12,English Language,This course covers various topics in English Language.,John Doe,Intermediate,38,French,126.19,2.12,5233,"Skill 2, Skill 3","Prereq 2, Prereq 3, Prereq 1",https://www.example.com/english-language/lecture_11,https://www.example.com/english-language/quiz_11,https://www.example.com/english-language/assignment_11,https://www.example.com/english-language/forum_11,Yes
ENG012,English Language Course 13,English Language,This course covers various topics in English Language.,John Doe,Advanced,31,English,163.34,3.99,2605,Skill 4,"Prereq 2, Prereq 1, Prereq 3",https://www.example.com/english-language/lecture_12,https://www.example.com/english-language/quiz_12,https://www.example.com/english-language/assignment_12,https://www.example.com/english-language/forum_12,Yes
ENG013,English Language Course 14,English Language,This course covers various topics in English Language.,John Doe,Beginner,8,French,63.9,2.16,6322,"Skill 1, Skill 4, Skill 3, Skill 2",,https://www.example.com/english-language/lecture_13,https://www.example.com/english-language/quiz_13,https://www.example.com/english-language/assignment_13,https://www.example.com/english-language/forum_13,Yes
ENG014,English Language Course 15,English Language,This course covers various topics in English Language.,John Doe,Intermediate,21,Spanish,121.78,3.47,8093,Skill 2,,https://www.example.com/english-language/lecture_14,https://www.example.com/english-language/quiz_14,https://www.example.com/english-language/assignment_14,https://www.example.com/english-language/forum_14,No
ENG015,English Language Course 16,English Language,This course covers various topics in English Language.,John Doe,Advanced,46,French,96.83,1.83,1207,Skill 1,"Prereq 3, Prereq 2, Prereq 1",https://www.example.com/english-language/lecture_15,https://www.example.com/english-language/quiz_15,https://www.example.com/english-language/assignment_15,https://www.example.com/english-language/forum_15,Yes
ENG016,English Language Course 17,English Language,This course covers various topics in English Language.,John Doe,Intermediate,43,English,89.72,3.85,3699,"Skill 4, Skill 2, Skill 1",Prereq 1,https://www.example.com/english-language/lecture_16,https://www.example.com/english-language/quiz_16,https://www.example.com/english-language/assignment_16,https://www.example.com/english-language/forum_16,No
ENG017,English Language Course 18,English Language,This course covers various topics in English Language.,John Doe,Advanced,46,French,72.06,1.32,4369,"Skill 1, Skill 4, Skill 3",Prereq 3,https://www.example.com/english-language/lecture_17,https://www.example.com/english-language/quiz_17,https://www.example.com/english-language/assignment_17,https://www.example.com/english-language/forum_17,No
ENG018,English Language Course 19,English Language,This course covers various topics in English Language.,John Doe,Advanced,26,Spanish,109.33,2.14,4196,Skill 4,"Prereq 3, Prereq 2",https://www.example.com/english-language/lecture_18,https://www.example.com/english-language/quiz_18,https://www.example.com/english-language/assignment_18,https://www.example.com/english-language/forum_18,Yes
ENG019,English Language Course 20,English Language,This course covers various topics in English Language.,John Doe,Intermediate,42,French,48.32,2.89,3445,"Skill 4, Skill 1, Skill 3",Prereq 3,https://www.example.com/english-language/lecture_19,https://www.example.com/english-language/quiz_19,https://www.example.com/english-language/assignment_19,https://www.example.com/english-language/forum_19,Yes
COM000,Computer Science Course 1,Computer Science,This course covers various topics in Computer Science.,John Doe,Advanced,33,English,46.63,1.85,3680,Skill 3,"Prereq 3, Prereq 2",https://www.example.com/computer-science/lecture_0,https://www.example.com/computer-science/quiz_0,https://www.example.com/computer-science/assignment_0,https://www.example.com/computer-science/forum_0,Yes
COM001,Computer Science Course 2,Computer Science,This course covers various topics in Computer Science.,John Doe,Beginner,43,English,28.68,4.47,687,Skill 3,Prereq 1,https://www.example.com/computer-science/lecture_1,https://www.example.com/computer-science/quiz_1,https://www.example.com/computer-science/assignment_1,https://www.example.com/computer-science/forum_1,No
COM002,Computer Science Course 3,Computer Science,This course covers various topics in Computer Science.,John Doe,Intermediate,5,Spanish,61.58,3.61,3256,Skill 4,Prereq 2,https://www.example.com/computer-science/lecture_2,https://www.example.com/computer-science/quiz_2,https://www.example.com/computer-science/assignment_2,https://www.example.com/computer-science/forum_2,Yes
COM003,Computer Science Course 4,Computer Science,This course covers various topics in Computer Science.,John Doe,Intermediate,45,Spanish,137.92,2.18,2879,Skill 3,"Prereq 3, Prereq 1",https://www.example.com/computer-science/lecture_3,https://www.example.com/computer-science/quiz_3,https://www.example.com/computer-science/assignment_3,https://www.example.com/computer-science/forum_3,No
COM004,Computer Science Course 5,Computer Science,This course covers various topics in Computer Science.,John Doe,Beginner,49,English,22.56,2.28,1527,"Skill 1, Skill 3","Prereq 2, Prereq 3",https://www.example.com/computer-science/lecture_4,https://www.example.com/computer-science/quiz_4,https://www.example.com/computer-science/assignment_4,https://www.example.com/computer-science/forum_4,Yes
COM005,Computer Science Course 6,Computer Science,This course covers various topics in Computer Science.,John Doe,Intermediate,42,English,98.24,1.07,9208,Skill 4,,https://www.example.com/computer-science/lecture_5,https://www.example.com/computer-science/quiz_5,https://www.example.com/computer-science/assignment_5,https://www.example.com/computer-science/forum_5,Yes
COM006,Computer Science Course 7,Computer Science,This course covers various topics in Computer Science.,John Doe,Beginner,40,English,25.78,4.54,7939,"Skill 3, Skill 2, Skill 4, Skill 1","Prereq 2, Prereq 3",https://www.example.com/computer-science/lecture_6,https://www.example.com/computer-science/quiz_6,https://www.example.com/computer-science/assignment_6,https://www.example.com/computer-science/forum_6,No
COM007,Computer Science Course 8,Computer Science,This course covers various topics in Computer Science.,John Doe,Intermediate,8,Spanish,41.02,2.82,5155,"Skill 4, Skill 1, Skill 2, Skill 3",,https://www.example.com/computer-science/lecture_7,https://www.example.com/computer-science/quiz_7,https://www.example.com/computer-science/assignment_7,https://www.example.com/computer-science/forum_7,Yes
COM008,Computer Science Course 9,Computer Science,This course covers various topics in Computer Science.,John Doe,Advanced,37,English,99.67,4.28,6011,"Skill 1, Skill 2",Prereq 1,https://www.example.com/computer-science/lecture_8,https://www.example.com/computer-science/quiz_8,https://www.example.com/computer-science/assignment_8,https://www.example.com/computer-science/forum_8,No
COM009,Computer Science Course 10,Computer Science,This course covers various topics in Computer Science.,John Doe,Advanced,21,Spanish,22.55,1.42,6304,"Skill 3, Skill 4, Skill 1",Prereq 3,https://www.example.com/computer-science/lecture_9,https://www.example.com/computer-science/quiz_9,https://www.example.com/computer-science/assignment_9,https://www.example.com/computer-science/forum_9,Yes
COM010,Computer Science Course 11,Computer Science,This course covers various topics in Computer Science.,John Doe,Advanced,34,Spanish,84.78,1.72,9170,"Skill 1, Skill 4, Skill 2, Skill 3","Prereq 1, Prereq 3, Prereq 2",https://www.example.com/computer-science/lecture_10,https://www.example.com/computer-science/quiz_10,https://www.example.com/computer-science/assignment_10,https://www.example.com/computer-science/forum_10,Yes
COM011,Computer Science Course 12,Computer Science,This course covers various topics in Computer Science.,John Doe,Beginner,30,Spanish,117.35,3.53,6731,"Skill 3, Skill 1, Skill 4, Skill 2","Prereq 1, Prereq 2, Prereq 3",https://www.example.com/computer-science/lecture_11,https://www.example.com/computer-science/quiz_11,https://www.example.com/computer-science/assignment_11,https://www.example.com/computer-science/forum_11,Yes
COM012,Computer Science Course 13,Computer Science,This course covers various topics in Computer Science.,John Doe,Advanced,42,French,168.66,1.36,236,"Skill 3, Skill 4, Skill 1","Prereq 3, Prereq 2",https://www.example.com/computer-science/lecture_12,https://www.example.com/computer-science/quiz_12,https://www.example.com/computer-science/assignment_12,https://www.example.com/computer-science/forum_12,Yes
COM013,Computer Science Course 14,Computer Science,This course covers various topics in Computer Science.,John Doe,Intermediate,22,Spanish,24.31,1.78,5442,Skill 3,,https://www.example.com/computer-science/lecture_13,https://www.example.com/computer-science/quiz_13,https://www.example.com/computer-science/assignment_13,https://www.example.com/computer-science/forum_13,No
COM014,Computer Science Course 15,Computer Science,This course covers various topics in Computer Science.,John Doe,Intermediate,13,English,145.07,1.95,4143,"Skill 3, Skill 1, Skill 2",,https://www.example.com/computer-science/lecture_14,https://www.example.com/computer-science/quiz_14,https://www.example.com/computer-science/assignment_14,https://www.example.com/computer-science/forum_14,No
COM015,Computer Science Course 16,Computer Science,This course covers various topics in Computer Science.,John Doe,Beginner,29,English,56.54,1.4,996,"Skill 2, Skill 3, Skill 1",Prereq 2,https://www.example.com/computer-science/lecture_15,https://www.example.com/computer-science/quiz_15,https://www.example.com/computer-science/assignment_15,https://www.example.com/computer-science/forum_15,No
